os-prober 1.63-1
p11-kit 0.20.2-1
pa-applet 1.0.2-1
pacman 4.1.2-6
pacman-mirrorlist 20140528-1
pam 1.1.8-4
pam_encfs 0.1.4.4-2
pamac 0.9.8-3
pambase 20130928-1
pango 1.36.3-2
pangomm 2.34.0-1
parole 0.5.4-1
parted 3.1-4
pavucontrol 2.0-2
pciutils 3.2.1-1
pcmciautils 018-7
pcre 8.35-1
perl 5.18.2-2
perl-xml-parser 2.41-4
perl-xml-simple 2.20-1
pinentry 0.8.3-1
pixman 0.32.4-1
pkg-config 0.28-1
plymouth 0.8.8-8
plymouth-theme-manjaro-elegant 1.0.1-1
polkit 0.112-2
polkit-gnome 0.105-2
poppler 0.26.1-1
poppler-glib 0.26.1-1
popt 1.16-7
ppp 2.4.6-2
prebootloader 20130206-2
procps-ng 3.3.9-3
progsreiserfs 0.3.0.5-8
psmisc 22.21-2
pth 2.0.7-5
pulseaudio 5.0-1
pulseaudio-alsa 2-2
pulseaudio-ctl 1.33-2
pv 1.5.3-1
py3parted 0.1-2
pyalpm 0.6.2.2-2
pygobject-devel 3.12.2-1
pygobject2-devel 2.28.6-10
pygtk 2.24.0-3
python 3.4.1-1
python-cairo 1.10.0-4
python-configobj 5.0.5-1
python-dbus 1.2.0-3
python-dbus-common 1.2.0-3
python-gobject 3.12.2-1
python-psutil 2.1.1-1
python-pyelftools 0.21-2
python-requests 2.3.0-1
python-six 1.6.1-2
python2 2.7.6-3
python2-beaker 1.6.4-2
python2-cairo 1.10.0-1
python2-gobject2 2.28.6-10
python2-mako 0.9.1-2
python2-markupsafe 0.23-1
pywebkitgtk 1.1.8-3
qrencode 3.4.3-1
qt4 4.8.6-1
raktpdf 20080320-3
randrproto 1.4.0-1
readline 6.3.006-1
recordproto 1.14.2-1
refind-efi 0.8.1-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-2
rlog 1.4-4
rpcbind 0.2.1-2
rsync 3.1.0-2
rtkit 0.11-4
run-parts 4.4-1
s-nail 14.6.4-1
sbc 1.2-1
scrnsaverproto 1.2.2-1
sed 4.2.2-3
sg3_utils 1.38-1
shadow 4.2.1-1
shared-mime-info 1.3-1
sound-theme-freedesktop 0.8-1
speex 1.2rc1-4
sqlite 3.8.4.3-2
squashfs-tools 4.3-2
startup-notification 0.12-4
sudo 1.8.10.p3-1
sylpheed 3.4.1-1
sysfsutils 2.1.0-8
syslinux 6.03pre12-3
systemd 212-3
systemd-sysvcompat 212-3
taglib 1.9.1-1
tar 1.27.1-1
tcl 8.6.1-1
tcpdump 4.5.1-1
tdb 1.2.12-1
testdisk 6.14-2
texinfo 5.2-2
thunar 1.6.3-1
thus 0.8.10rc2-1
ttf-aboriginal-sans 9.606-1
ttf-dejavu 2.34-1
ttf-indic-otf 0.2-6
ttf-khmer 5.0-3
ttf-lohit-fonts 2.5.3-1
ttf-myanmar3 20110120-1
ttf-thaana-fonts 1.0-1
ttf-tlwg 0.5.1-1
tzdata 2014d-1
udisks 1.0.5-1
udisks2 2.1.3-1
upower 0.99.0-2
uriparser 0.8.0-1
usb_modeswitch 2.1.1-1
usbutils 007-1
util-linux 2.24.2-1
v4l-utils 1.0.1-1
v86d 0.1.10-5
vi 1:050325-3
videoproto 2.3.2-1
vte 0.28.2-4
vte-common 0.36.2-1
wavpack 4.70.0-2
wayland 1.4.0-1
webkitgtk 2.4.2-1
webkitgtk2 2.4.2-1
webrtc-audio-processing 0.1-1
wget 1.15-1
which 2.20-6
wireless_tools 30.pre9-1
wpa_actiond 1.4-2
wpa_supplicant 2.1-3
xcb-proto 1.10-2
xcb-util 0.3.9-1
xcursor-simpleandsoft 0.2-6
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-user-dirs 0.15-1
xdg-utils 1.1.0.git20140207-1
xextproto 7.3.0-1
xf86-input-acecad 1.5.0-7
xf86-input-aiptek 1.4.1-7
xf86-input-evdev 2.9.0-1
xf86-input-joystick 1.6.2-3
xf86-input-keyboard 1.8.0-2
xf86-input-mouse 1.9.0-2
xf86-input-synaptics 1.8.0-1
xf86-input-void 1.4.0-6
xf86-input-wacom 0.24.0-1
xf86dgaproto 2.1-2
xf86vidmodeproto 2.3.1-2
xfce-theme-greenbird 20140421-1
xfce4-appfinder 4.11.0-1
xfce4-battery-plugin 1.0.5-1
xfce4-clipman-plugin 1.2.4-1
xfce4-notifyd 0.2.4-1
xfce4-panel 4.11.0-1
xfce4-power-manager 1.2.0.212.g75107db-1
xfce4-screenshooter 1.8.1-1
xfce4-session 4.11.0-1
xfce4-settings 4.11.2-1
xfce4-taskmanager 1.0.1-1
xfce4-terminal 0.6.3-1
xfce4-whiskermenu-plugin 1.3.2-3
xfconf 4.10.0-3
xfdesktop 4.11.6-1
xfsprogs 3.1.11-2
xfwm4 4.11.1-2
xineramaproto 1.2.1-2
xinetd 2.3.15-4
xkeyboard-config 2.12-1
xnoise 0.2.21-2
xorg-bdftopcf 1.0.4-1
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.6-1
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.15.1-1
xorg-server-common 1.15.1-1
xorg-server-utils 7.6-3
xorg-sessreg 1.0.8-1
xorg-setxkbmap 1.3.0-1
xorg-twm 1.0.8-1
xorg-utils 7.6-8
xorg-xauth 1.0.9-1
